2024-05-14 07:27:16 status half-installed libc-dev-bin:amd64 2.36-9+deb12u7
2024-05-14 07:27:16 status unpacked libc-dev-bin:amd64 2.36-9+deb12u7
2024-05-14 07:27:16 install linux-libc-dev:amd64 <none> 6.1.90-1
2024-05-14 07:27:16 status half-installed linux-libc-dev:amd64 6.1.90-1
2024-05-14 07:27:17 status unpacked linux-libc-dev:amd64 6.1.90-1
2024-05-14 07:27:17 install libcrypt-dev:amd64 <none> 1:4.4.33-2
2024-05-14 07:27:17 status half-installed libcrypt-dev:amd64 1:4.4.33-2
2024-05-14 07:27:17 status unpacked libcrypt-dev:amd64 1:4.4.33-2
2024-05-14 07:27:17 install libkrb5support0:amd64 <none> 1.20.1-2+deb12u1
2024-05-14 07:27:17 status half-installed libkrb5support0:amd64 1.20.1-2+deb12u1
2024-05-14 07:27:17 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u1
2024-05-14 07:27:17 install libk5crypto3:amd64 <none> 1.20.1-2+deb12u1
2024-05-14 07:27:17 status half-installed libk5crypto3:amd64 1.20.1-2+deb12u1
2024-05-14 07:27:17 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u1
2024-05-14 07:27:17 install libkeyutils1:amd64 <none> 1.6.3-2
2024-05-14 07:27:17 status half-installed libkeyutils1:amd64 1.6.3-2
2024-05-14 07:27:17 status unpacked libkeyutils1:amd64 1.6.3-2
2024-05-14 07:27:17 install libkrb5-3:amd64 <none> 1.20.1-2+deb12u1
2024-05-14 07:27:17 status half-installed libkrb5-3:amd64 1.20.1-2+deb12u1
2024-05-14 07:27:17 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u1
2024-05-14 07:27:17 install libgssapi-krb5-2:amd64 <none> 1.20.1-2+deb12u1
2024-05-14 07:27:17 status half-installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u1
2024-05-14 07:27:17 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u1
2024-05-14 07:27:17 install libtirpc-common:all <none> 1.3.3+ds-1
2024-05-14 07:27:17 status half-installed libtirpc-common:all 1.3.3+ds-1
2024-05-14 07:27:17 status unpacked libtirpc-common:all 1.3.3+ds-1
2024-05-14 07:27:17 install libtirpc3:amd64 <none> 1.3.3+ds-1
2024-05-14 07:27:17 status half-installed libtirpc3:amd64 1.3.3+ds-1
2024-05-14 07:27:17 status unpacked libtirpc3:amd64 1.3.3+ds-1
2024-05-14 07:27:17 install libnsl2:amd64 <none> 1.3.0-2
2024-05-14 07:27:17 status half-installed libnsl2:amd64 1.3.0-2
2024-05-14 07:27:17 status unpacked libnsl2:amd64 1.3.0-2
2024-05-14 07:27:17 install libtirpc-dev:amd64 <none> 1.3.3+ds-1
2024-05-14 07:27:17 status half-installed libtirpc-dev:amd64 1.3.3+ds-1
2024-05-14 07:27:17 status unpacked libtirpc-dev:amd64 1.3.3+ds-1
2024-05-14 07:27:17 install libnsl-dev:amd64 <none> 1.3.0-2
2024-05-14 07:27:17 status half-installed libnsl-dev:amd64 1.3.0-2
2024-05-14 07:27:17 status unpacked libnsl-dev:amd64 1.3.0-2
2024-05-14 07:27:17 install rpcsvc-proto:amd64 <none> 1.4.3-1
2024-05-14 07:27:17 status half-installed rpcsvc-proto:amd64 1.4.3-1
2024-05-14 07:27:17 status unpacked rpcsvc-proto:amd64 1.4.3-1
2024-05-14 07:27:17 install libc6-dev:amd64 <none> 2.36-9+deb12u7
2024-05-14 07:27:17 status half-installed libc6-dev:amd64 2.36-9+deb12u7
2024-05-14 07:27:17 status unpacked libc6-dev:amd64 2.36-9+deb12u7
2024-05-14 07:27:17 install libbluetooth-dev:amd64 <none> 5.66-1+deb12u1
2024-05-14 07:27:17 status half-installed libbluetooth-dev:amd64 5.66-1+deb12u1
2024-05-14 07:27:17 status unpacked libbluetooth-dev:amd64 5.66-1+deb12u1
2024-05-14 07:27:17 install libbrotli1:amd64 <none> 1.0.9-2+b6
2024-05-14 07:27:17 status half-installed libbrotli1:amd64 1.0.9-2+b6
2024-05-14 07:27:17 status unpacked libbrotli1:amd64 1.0.9-2+b6
2024-05-14 07:27:17 install libbrotli-dev:amd64 <none> 1.0.9-2+b6
2024-05-14 07:27:17 status half-installed libbrotli-dev:amd64 1.0.9-2+b6
2024-05-14 07:27:18 status unpacked libbrotli-dev:amd64 1.0.9-2+b6
2024-05-14 07:27:18 install libbsd0:amd64 <none> 0.11.7-2
2024-05-14 07:27:18 status half-installed libbsd0:amd64 0.11.7-2
2024-05-14 07:27:18 status unpacked libbsd0:amd64 0.11.7-2
2024-05-14 07:27:18 install libbz2-dev:amd64 <none> 1.0.8-5+b1
2024-05-14 07:27:18 status half-installed libbz2-dev:amd64 1.0.8-5+b1
2024-05-14 07:27:18 status unpacked libbz2-dev:amd64 1.0.8-5+b1
2024-05-14 07:27:18 install libdb5.3-dev:amd64 <none> 5.3.28+dfsg2-1
2024-05-14 07:27:18 status half-installed libdb5.3-dev:amd64 5.3.28+dfsg2-1
2024-05-14 07:27:18 status unpacked libdb5.3-dev:amd64 5.3.28+dfsg2-1
2024-05-14 07:27:18 install libdb-dev:amd64 <none> 5.3.2
2024-05-14 07:27:18 status half-installed libdb-dev:amd64 5.3.2
2024-05-14 07:27:18 status unpacked libdb-dev:amd64 5.3.2
2024-05-14 07:27:18 install libexpat1:amd64 <none> 2.5.0-1
2024-05-14 07:27:18 status half-installed libexpat1:amd64 2.5.0-1
2024-05-14 07:27:18 status unpacked libexpat1:amd64 2.5.0-1
2024-05-14 07:27:18 install libexpat1-dev:amd64 <none> 2.5.0-1
2024-05-14 07:27:18 status half-installed libexpat1-dev:amd64 2.5.0-1
2024-05-14 07:27:18 status unpacked libexpat1-dev:amd64 2.5.0-1
2024-05-14 07:27:18 install libffi-dev:amd64 <none> 3.4.4-1
2024-05-14 07:27:18 status half-installed libffi-dev:amd64 3.4.4-1
2024-05-14 07:27:18 status unpacked libffi-dev:amd64 3.4.4-1
2024-05-14 07:27:18 install libpng16-16:amd64 <none> 1.6.39-2
2024-05-14 07:27:18 status half-installed libpng16-16:amd64 1.6.39-2
2024-05-14 07:27:18 status unpacked libpng16-16:amd64 1.6.39-2
2024-05-14 07:27:18 install libfreetype6:amd64 <none> 2.12.1+dfsg-5
2024-05-14 07:27:18 status half-installed libfreetype6:amd64 2.12.1+dfsg-5
2024-05-14 07:27:18 status unpacked libfreetype6:amd64 2.12.1+dfsg-5
2024-05-14 07:27:18 install libfontconfig1:amd64 <none> 2.14.1-4
2024-05-14 07:27:18 status half-installed libfontconfig1:amd64 2.14.1-4
2024-05-14 07:27:18 status unpacked libfontconfig1:amd64 2.14.1-4
2024-05-14 07:27:18 install zlib1g-dev:amd64 <none> 1:1.2.13.dfsg-1
2024-05-14 07:27:18 status half-installed zlib1g-dev:amd64 1:1.2.13.dfsg-1
2024-05-14 07:27:18 status unpacked zlib1g-dev:amd64 1:1.2.13.dfsg-1
2024-05-14 07:27:18 install libpng-dev:amd64 <none> 1.6.39-2
2024-05-14 07:27:18 status half-installed libpng-dev:amd64 1.6.39-2
2024-05-14 07:27:18 status unpacked libpng-dev:amd64 1.6.39-2
2024-05-14 07:27:18 install libfreetype-dev:amd64 <none> 2.12.1+dfsg-5
2024-05-14 07:27:18 status half-installed libfreetype-dev:amd64 2.12.1+dfsg-5
2024-05-14 07:27:18 status unpacked libfreetype-dev:amd64 2.12.1+dfsg-5
2024-05-14 07:27:18 install uuid-dev:amd64 <none> 2.38.1-5+deb12u1
2024-05-14 07:27:18 status half-installed uuid-dev:amd64 2.38.1-5+deb12u1
2024-05-14 07:27:18 status unpacked uuid-dev:amd64 2.38.1-5+deb12u1
2024-05-14 07:27:18 install libpkgconf3:amd64 <none> 1.8.1-1
2024-05-14 07:27:18 status half-installed libpkgconf3:amd64 1.8.1-1
2024-05-14 07:27:18 status unpacked libpkgconf3:amd64 1.8.1-1
2024-05-14 07:27:18 install pkgconf-bin:amd64 <none> 1.8.1-1
2024-05-14 07:27:18 status half-installed pkgconf-bin:amd64 1.8.1-1
2024-05-14 07:27:18 status unpacked pkgconf-bin:amd64 1.8.1-1
2024-05-14 07:27:18 install pkgconf:amd64 <none> 1.8.1-1
2024-05-14 07:27:18 status half-installed pkgconf:amd64 1.8.1-1
2024-05-14 07:27:18 status unpacked pkgconf:amd64 1.8.1-1
2024-05-14 07:27:18 install pkg-config:amd64 <none> 1.8.1-1
2024-05-14 07:27:18 status half-installed pkg-config:amd64 1.8.1-1
2024-05-14 07:27:18 status unpacked pkg-config:amd64 1.8.1-1
2024-05-14 07:27:18 install libfontconfig-dev:amd64 <none> 2.14.1-4
2024-05-14 07:27:18 status half-installed libfontconfig-dev:amd64 2.14.1-4
2024-05-14 07:27:19 status unpacked libfontconfig-dev:amd64 2.14.1-4
2024-05-14 07:27:19 install libfontconfig1-dev:amd64 <none> 2.14.1-4
2024-05-14 07:27:19 status half-installed libfontconfig1-dev:amd64 2.14.1-4
2024-05-14 07:27:19 status unpacked libfontconfig1-dev:amd64 2.14.1-4
2024-05-14 07:27:19 install libgdbm-dev:amd64 <none> 1.23-3
2024-05-14 07:27:19 status half-installed libgdbm-dev:amd64 1.23-3
2024-05-14 07:27:19 status unpacked libgdbm-dev:amd64 1.23-3
2024-05-14 07:27:19 install liblzma-dev:amd64 <none> 5.4.1-0.2
2024-05-14 07:27:19 status half-installed liblzma-dev:amd64 5.4.1-0.2
2024-05-14 07:27:19 status unpacked liblzma-dev:amd64 5.4.1-0.2
2024-05-14 07:27:19 install libncurses6:amd64 <none> 6.4-4
2024-05-14 07:27:19 status half-installed libncurses6:amd64 6.4-4
2024-05-14 07:27:19 status unpacked libncurses6:amd64 6.4-4
2024-05-14 07:27:19 install libncurses-dev:amd64 <none> 6.4-4
2024-05-14 07:27:19 status half-installed libncurses-dev:amd64 6.4-4
2024-05-14 07:27:19 status unpacked libncurses-dev:amd64 6.4-4
2024-05-14 07:27:19 install libncursesw5-dev:amd64 <none> 6.4-4
2024-05-14 07:27:19 status half-installed libncursesw5-dev:amd64 6.4-4
2024-05-14 07:27:19 status unpacked libncursesw5-dev:amd64 6.4-4
2024-05-14 07:27:19 install libpthread-stubs0-dev:amd64 <none> 0.4-1
2024-05-14 07:27:19 status half-installed libpthread-stubs0-dev:amd64 0.4-1
2024-05-14 07:27:19 status unpacked libpthread-stubs0-dev:amd64 0.4-1
2024-05-14 07:27:19 install libreadline-dev:amd64 <none> 8.2-1.3
2024-05-14 07:27:19 status half-installed libreadline-dev:amd64 8.2-1.3
2024-05-14 07:27:19 status unpacked libreadline-dev:amd64 8.2-1.3
2024-05-14 07:27:19 install libsqlite3-dev:amd64 <none> 3.40.1-2
2024-05-14 07:27:19 status half-installed libsqlite3-dev:amd64 3.40.1-2
2024-05-14 07:27:19 status unpacked libsqlite3-dev:amd64 3.40.1-2
